Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2025-12-31,271.86,273.68,271.75,273.06,27293600
2026-01-02,271.01,277.84,269.0,272.26,37838100
2026-01-05,267.26,271.51,266.14,270.64,45647200
2026-01-06,262.36,267.55,262.12,267.0,52352100
2026-01-07,260.33,263.68,259.81,263.2,48309800
2026-01-08,259.04,259.29,255.7,257.02,50419300
2026-01-09,259.37,260.21,256.22,259.08,39997000
2026-01-12,260.25,261.3,256.8,259.16,45263800
2026-01-13,261.05,261.81,258.39,258.72,45730800
2026-01-14,259.96,261.82,256.71,259.49,40019400
2026-01-15,258.21,261.04,257.05,260.65,39388600
2026-01-16,255.53,258.9,254.93,257.9,72142800
2026-01-20,246.7,254.79,243.42,252.73,80267500
2026-01-21,247.65,251.56,245.18,248.7,54641700
2026-01-22,248.35,251.0,248.15,249.2,39708300
2026-01-23,248.04,249.41,244.68,247.32,41689000
2026-01-26,255.41,256.56,249.8,251.48,55969200
2026-01-27,258.27,261.95,258.21,259.17,49648300
2026-01-28,256.44,258.86,254.51,257.65,41288000
2026-01-29,258.28,259.65,254.41,258.0,67253000
2026-01-30,259.48,261.9,252.18,255.17,92352600
